Agriculture,The mining industry,Manufacturing industry,Power,The construction industry,The wholesale and retail industry,Traffic and transportation industry,Accommodation and catering industry,The transmission of information industry,Finance,Estate,Leasing and business services,The scientific research and technical services,Water conservancy,Education,Health and social work,Culture and sports,Comprehensive
,,600231,,,,,,,,,,,,,,,
,,600232,,,,,,,,,,,,,,,
,,600233,,,,,,,,,,,,,,,
,,600234,,,,,,,,,,,,,,,
,,600235,,,,,,,,,,,,,,,
,,600237,,,,,,,,,,,,,,,
,,600243,,,,,,,,,,,,,,,
,,600249,,,,,,,,,,,,,,,
,,600251,,,,,,,,,,,,,,,
,,600252,,,,,,,,,,,,,,,
,,600255,,,,,,,,,,,,,,,
,,600261,,,,,,,,,,,,,,,
,,600262,,,,,,,,,,,,,,,
,,600267,,,,,,,,,,,,,,,
,,600268,,,,,,,,,,,,,,,
,,600271,,,,,,,,,,,,,,,
,,600273,,,,,,,,,,,,,,,
,,600276,,,,,,,,,,,,,,,
,,600277,,,,,,,,,,,,,,,
,,600281,,,,,,,,,,,,,,,
,,600282,,,,,,,,,,,,,,,
,,600285,,,,,,,,,,,,,,,
,,600288,,,,,,,,,,,,,,,
,,600290,,,,,,,,,,,,,,,
,,600291,,,,,,,,,,,,,,,
,,600293,,,,,,,,,,,,,,,
,,600295,,,,,,,,,,,,,,,
,,600297,,,,,,,,,,,,,,,
,,600298,,,,,,,,,,,,,,,
,,600299,,,,,,,,,,,,,,,
,,600300,,,,,,,,,,,,,,,
,,600301,,,,,,,,,,,,,,,
,,600302,,,,,,,,,,,,,,,
,,600303,,,,,,,,,,,,,,,
,,600305,,,,,,,,,,,,,,,
,,600307,,,,,,,,,,,,,,,
,,600308,,,,,,,,,,,,,,,
,,600309,,,,,,,,,,,,,,,
,,600312,,,,,,,,,,,,,,,
,,600315,,,,,,,,,,,,,,,
,,600316,,,,,,,,,,,,,,,
,,600318,,,,,,,,,,,,,,,
,,600319,,,,,,,,,,,,,,,
,,600320,,,,,,,,,,,,,,,
,,600321,,,,,,,,,,,,,,,
,,600328,,,,,,,,,,,,,,,
,,600329,,,,,,,,,,,,,,,
,,600330,,,,,,,,,,,,,,,
,,600331,,,,,,,,,,,,,,,
,,600332,,,,,,,,,,,,,,,
,,600333,,,,,,,,,,,,,,,
,,600336,,,,,,,,,,,,,,,
,,600337,,,,,,,,,,,,,,,
,,600338,,,,,,,,,,,,,,,
,,600339,,,,,,,,,,,,,,,
,,600343,,,,,,,,,,,,,,,
,,600345,,,,,,,,,,,,,,,
,,600346,,,,,,,,,,,,,,,
,,600351,,,,,,,,,,,,,,,
,,600352,,,,,,,,,,,,,,,
,,600353,,,,,,,,,,,,,,,
,,600355,,,,,,,,,,,,,,,
,,600356,,,,,,,,,,,,,,,
,,600360,,,,,,,,,,,,,,,
,,600362,,,,,,,,,,,,,,,
,,600363,,,,,,,,,,,,,,,
,,600365,,,,,,,,,,,,,,,
,,600366,,,,,,,,,,,,,,,
,,600367,,,,,,,,,,,,,,,
,,600370,,,,,,,,,,,,,,,
,,600372,,,,,,,,,,,,,,,
,,600375,,,,,,,,,,,,,,,
,,600378,,,,,,,,,,,,,,,
,,600379,,,,,,,,,,,,,,,
,,600380,,,,,,,,,,,,,,,
,,600381,,,,,,,,,,,,,,,
,,600385,,,,,,,,,,,,,,,
,,600388,,,,,,,,,,,,,,,
,,600389,,,,,,,,,,,,,,,
,,600390,,,,,,,,,,,,,,,
,,600391,,,,,,,,,,,,,,,
,,600392,,,,,,,,,,,,,,,
,,600398,,,,,,,,,,,,,,,
,,600399,,,,,,,,,,,,,,,
,,600400,,,,,,,,,,,,,,,
,,600401,,,,,,,,,,,,,,,
,,600405,,,,,,,,,,,,,,,
,,600408,,,,,,,,,,,,,,,
,,600409,,,,,,,,,,,,,,,
,,600416,,,,,,,,,,,,,,,
,,600418,,,,,,,,,,,,,,,
,,600419,,,,,,,,,,,,,,,
,,600420,,,,,,,,,,,,,,,
,,600421,,,,,,,,,,,,,,,
,,600422,,,,,,,,,,,,,,,
,,600423,,,,,,,,,,,,,,,
,,600425,,,,,,,,,,,,,,,
,,600426,,,,,,,,,,,,,,,
,,600429,,,,,,,,,,,,,,,
,,600432,,,,,,,,,,,,,,,
,,600433,,,,,,,,,,,,,,,
,,600435,,,,,,,,,,,,,,,
,,600436,,,,,,,,,,,,,,,
,,600438,,,,,,,,,,,,,,,
,,600439,,,,,,,,,,,,,,,
,,600444,,,,,,,,,,,,,,,
,,600448,,,,,,,,,,,,,,,
,,600449,,,,,,,,,,,,,,,
,,600456,,,,,,,,,,,,,,,
,,600458,,,,,,,,,,,,,,,
,,600459,,,,,,,,,,,,,,,
,,600460,,,,,,,,,,,,,,,
,,600462,,,,,,,,,,,,,,,
,,600466,,,,,,,,,,,,,,,
,,600468,,,,,,,,,,,,,,,
,,600469,,,,,,,,,,,,,,,
,,600470,,,,,,,,,,,,,,,
,,600475,,,,,,,,,,,,,,,
,,600478,,,,,,,,,,,,,,,
,,600479,,,,,,,,,,,,,,,
,,600480,,,,,,,,,,,,,,,
,,600481,,,,,,,,,,,,,,,
,,600482,,,,,,,,,,,,,,,
,,600485,,,,,,,,,,,,,,,
,,600486,,,,,,,,,,,,,,,
,,600487,,,,,,,,,,,,,,,
,,600488,,,,,,,,,,,,,,,
,,600490,,,,,,,,,,,,,,,
,,600493,,,,,,,,,,,,,,,
,,600495,,,,,,,,,,,,,,,
,,600498,,,,,,,,,,,,,,,
,,600499,,,,,,,,,,,,,,,
,,600500,,,,,,,,,,,,,,,
,,600501,,,,,,,,,,,,,,,
,,600507,,,,,,,,,,,,,,,
,,600513,,,,,,,,,,,,,,,
,,600516,,,,,,,,,,,,,,,
,,600517,,,,,,,,,,,,,,,
,,600518,,,,,,,,,,,,,,,
,,600519,,,,,,,,,,,,,,,
,,600520,,,,,,,,,,,,,,,
,,600521,,,,,,,,,,,,,,,
,,600522,,,,,,,,,,,,,,,
,,600523,,,,,,,,,,,,,,,
,,600525,,,,,,,,,,,,,,,
,,600526,,,,,,,,,,,,,,,
,,600527,,,,,,,,,,,,,,,
,,600529,,,,,,,,,,,,,,,
,,600530,,,,,,,,,,,,,,,
,,600531,,,,,,,,,,,,,,,
,,600535,,,,,,,,,,,,,,,
,,600537,,,,,,,,,,,,,,,
,,600538,,,,,,,,,,,,,,,
,,600539,,,,,,,,,,,,,,,
,,600543,,,,,,,,,,,,,,,
,,600549,,,,,,,,,,,,,,,
,,600550,,,,,,,,,,,,,,,
,,600552,,,,,,,,,,,,,,,
,,600556,,,,,,,,,,,,,,,
,,600557,,,,,,,,,,,,,,,
,,600558,,,,,,,,,,,,,,,
,,600559,,,,,,,,,,,,,,,
,,600560,,,,,,,,,,,,,,,
,,600562,,,,,,,,,,,,,,,
,,600563,,,,,,,,,,,,,,,
,,600566,,,,,,,,,,,,,,,
,,600567,,,,,,,,,,,,,,,
,,600568,,,,,,,,,,,,,,,
,,600569,,,,,,,,,,,,,,,
,,600572,,,,,,,,,,,,,,,
,,600573,,,,,,,,,,,,,,,
,,600577,,,,,,,,,,,,,,,
,,600579,,,,,,,,,,,,,,,
,,600580,,,,,,,,,,,,,,,
,,600581,,,,,,,,,,,,,,,
,,600582,,,,,,,,,,,,,,,
,,600584,,,,,,,,,,,,,,,
,,600585,,,,,,,,,,,,,,,
,,600586,,,,,,,,,,,,,,,
,,600587,,,,,,,,,,,,,,,
,,600589,,,,,,,,,,,,,,,
,,600590,,,,,,,,,,,,,,,
,,600592,,,,,,,,,,,,,,,
,,600594,,,,,,,,,,,,,,,
