date,600155.ss,600156.ss,600160.ss,600161.ss,600163.ss,600165.ss,600166.ss,600169.ss,600171.ss,600172.ss,600176.ss,600177.ss,600178.ss,600179.ss,600182.ss,600183.ss,600184.ss,600186.ss,600189.ss,600191.ss,600192.ss,600195.ss,600196.ss,600197.ss,600198.ss,600199.ss,600201.ss,600202.ss,600206.ss,600210.ss,600213.ss,600216.ss,600217.ss,600218.ss,600219.ss,600220.ss,600222.ss,600226.ss,600227.ss,600228.ss,600229.ss,600230.ss,600231.ss,600232.ss,600233.ss,600234.ss,600235.ss,600237.ss,600243.ss,600249.ss,600251.ss,600252.ss,600255.ss,600261.ss,600262.ss,600267.ss,600268.ss,600271.ss,600273.ss,600276.ss,600277.ss,600281.ss,600282.ss,600285.ss,600288.ss,600290.ss,600291.ss,600293.ss,600295.ss,600297.ss,600298.ss,600299.ss,600300.ss,600301.ss,600302.ss,600303.ss,600305.ss,600307.ss,600308.ss,600309.ss
2015-5-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-4-30,0,0.009942005,-0.032448378,0.025888325,0.023917995,0.048859935,-0.026467204,-0.007952286,0.039979232,0,0,0.025186567,0,0,0.04855643,-0.022988506,0.000763942,-0.028742515,0.025728988,0,-0.032707029,0.038794882,0.004014599,-0.02328676,-0.014068441,-0.025019547,-0.029102269,-0.028809704,-0.021456804,-0.025735294,0.000684463,-0.01122807,0.050117463,-0.007495315,-0.028712059,0.029829545,-0.003319502,0,-0.008009153,-0.028405797,0.005376344,-0.015946844,-0.034321373,0,0.013425926,-0.0390482,0.100178891,-0.02173913,-0.001588562,-0.006808511,0.000787402,0.05553413,-0.022118743,-0.007053292,0.045223121,-0.011052166,0.038095238,-0.0031795,-0.023709902,0.00635481,-0.003442341,0.061997704,-0.022435897,0.027225901,0.014270418,-0.028050491,0.085183958,0,-0.0162206,0,-0.014553811,-0.019461935,-0.020278834,-0.003336113,0.026809651,0,0.018980275,0.012131716,-0.009538951,-0.012370311
2015-4-29,0,0.036051502,0.037755102,0.031953903,0.012687428,0.019933555,0.017564403,0.006,-0.009768638,0,0,0,0.011494253,0,0.036264733,0.039840637,0.004990403,0.060991105,0.006908463,0,0.049671293,0.012113617,0,0.002668446,0.000761035,0.007880221,0.022356699,0.045166403,0.051038576,0.099730458,0.032508834,0.007067138,0.024057739,0.038261997,0.016680567,0.07480916,0.028156997,0,0.035545024,0.01590106,0.035891089,0.008037508,-0.012326656,0,0.020793951,-0.017974835,0.015440509,0.032653061,0.02108678,-0.036885246,0.018852788,0.038446135,0.012971698,0.015923567,0.013353566,0.007123776,-0.025316456,0.099944704,0.007022472,0.020353026,0,0.005773672,0.033112583,0.031890661,0.029757423,0.033188837,-0.020772476,0,0.019851117,0.012478485,0.010058027,0.015107496,0.042272127,0.016963528,0.011754069,0,0.001490868,0.024866785,0.031147541,-0.001991239
2015-4-28,0,-0.065008026,0,-0.047642804,-0.031284916,-0.068111455,-0.037204059,-0.054820416,-0.011184545,0,0,0,-0.052631579,0,-0.048317515,-0.022395326,-0.07394241,-0.037897311,-0.033388982,0,-0.052595156,-0.041633307,-0.033850494,-0.06778607,-0.040875912,-0.032036613,-0.035349441,-0.05891126,-0.019778941,-0.024967148,-0.046495957,-0.048419637,-0.043711656,-0.015954052,-0.061815336,-0.053468208,-0.06539075,0,-0.048478016,-0.078676072,-0.047169811,-0.036774194,-0.00764526,0,-0.057040998,0.004816376,-0.041775457,-0.047619048,-0.046403712,0.07299912,-0.06313416,0.026726974,-0.0567297,-0.053504145,-0.012290168,-0.047093763,-0.018227009,-0.024595944,-0.056953642,-0.029709892,-0.040462428,-0.05664488,-0.041269841,0.100250627,-0.063639377,-0.026685538,0.099964298,0,-0.03125,-0.051041241,-0.040816327,-0.036394177,-0.047798742,-0.043019481,-0.027264732,0,-0.006296296,-0.058528428,-0.03785489,-0.058492688
2015-4-27,0,-0.019669552,-0.003051882,-0.037916967,-0.031385281,0,0.005668934,0.023210832,0.003059663,0,0,0,-0.03502627,0,0.012669288,-0.0125,0.026267785,-0.010882709,0.025684932,0,-0.003448276,0.006446414,0.008534851,0.024203822,-0.040952048,0.006139678,0.007844419,-0.006666667,-0.013203215,-0.003926702,0.006101695,-0.014579192,0.028391167,-0.004447268,0.007886435,-0.014245014,0.002398082,0,0.002259887,-0.008606778,0.00892326,0.033333333,0.02507837,0,0.018610985,0.036828964,0.015017668,0.016798419,-0.004618938,0.016994633,0.005668934,0.080888889,0.01011236,-0.001504891,-0.016219404,-0.014632107,0.100273473,0.049359453,-0.00461437,0.004564607,-0.011428571,0.007683864,-0.026275116,0.100183824,0.007975119,-0.002800951,0.018915969,0,0.017114914,0.0166044,-0.006634722,0.010180995,0.003787879,-0.043478261,0.011565836,0,0.072705602,-0.009933775,0.004754358,0.010227273
2015-4-24,0,0.0168,-0.027695351,0.001682692,0.041713641,-0.01674277,-0.011210762,-0.030927835,-0.018518519,0,0,0,0,0,0.023703041,0.017612524,-0.051557093,-0.02014218,-0.006802721,0,0.025459689,-0.0072,-0.000355492,-0.0169067,0.010254597,-0.004583652,0.023244147,-0.033643522,-0.035971223,0.029649596,-0.02640264,0.029331514,0.008750994,0.03757416,-0.03500761,0.010071942,-0.038431975,0,-0.02640264,-0.026701571,0.091558442,-0.001996008,-0.022970904,0,-0.011664424,-0.001246883,-0.019064125,0.010989011,0.030134814,-0.026132404,-0.021449704,0.056834194,-0.035752979,0.025462963,-0.034453303,-0.013608247,-0.01702509,-0.035084542,-0.004593176,-0.009735744,0.001635323,0.035227273,-0.02413273,0.100101112,-0.023035554,0.057777622,-0.027591086,0,-0.023866348,0.1,0.024933887,-0.034934498,-0.014925373,-0.003095975,-0.013169447,0,-0.027434312,0.032478632,-0.012519562,-0.014189694
2015-4-23,0,0.100352113,0.095341278,-0.00621118,0.049704142,0.006639428,0.048178613,0.030917874,0.065031983,0,0.006520451,-0.023234624,0.049632353,0,0.031841255,0.022,1.200647249,0.024271845,0.012048193,0,0.045084996,0.039068994,-0.015745276,-0.001250782,0.040470935,-0.002286585,0.003187385,0.09913454,0.049361208,-0.021108179,-0.009156311,0.008253095,-0.001588562,-0.013654096,0.059677419,0.020558003,0.021995287,0,-0.00547046,-0.011898603,0.01650165,0.016227181,0.041467305,0,0.021539872,0.027546445,0,0.004012036,-0.004735596,0,0.01539617,-0.007459207,-0.028421053,-0.00077101,0.012395503,0.039879931,-0.021910605,0.024967432,-0.005870841,-0.011514006,0.031197302,-0.001135074,0.054054054,0,-0.031495724,0.006711942,0.024646611,0,-0.006324111,0.099949774,-0.003763643,-0.013462574,0,0.050406504,-0.013852814,0,0,0.029929577,0.009478673,0.01941378
2015-4-22,0,0.018834081,0.030133929,0.02147389,0.049689441,0.00513347,0.013095238,0.012720157,0.100293255,0,0,0.027621723,0.05019305,0,0.043331728,0.030927835,0.038552788,0.028714107,0.022887324,0,0.039969254,0.062251656,-0.004181185,0.012666244,0.029155623,0.023400936,0.010681587,0.1004329,0.009970674,0.02294197,0.047978067,0.020350877,0.050041701,0.045547247,0.021416804,0.0657277,0.033279221,0,0.039817975,-0.004121587,0.019515478,0.02140884,0.03125,0,0.035595634,0.040666667,0.040577096,0.049473684,0.015224359,0.034234234,0.021872602,0.026807085,0.001053741,0.018853103,0.055048662,0.0038743,0.039162113,0.035900252,0.070530726,0.028818953,0.029513889,0.031615925,0.008012821,0,0.002301626,0.011312104,0.051047619,0,0.009577015,0.036439355,0.002263297,0.037430168,0.010050251,0,0.053832117,0,0.015300118,0.007092199,0.044554455,0.015461925
2015-4-21,0,0.036245353,0.034642032,0.079557429,0.049543677,0.027968338,0.03960396,-0.042174321,0.040903541,0,0.038320403,0.035887488,0.045408678,0,0.035393819,0.025369979,0.04310167,0.065159574,0.025270758,0,0.03418124,0.032360985,0.037224431,0.041556728,0.045940594,0.03974047,0.02190034,0.042418773,0.024639423,0.099406528,0.064186725,0.028138528,0.049912434,0.030112045,0.034953112,0.050986842,0.049403748,0,0.081180812,0.024274406,0.029085873,0.020436927,0.034013605,0,0.023312288,0.032346869,0.012785388,0.054384018,0.093777388,0.037383178,0.029632556,0.033135509,0.07963595,0.049464138,0.010138249,0.042171377,0.031954887,0.052621043,0.024320458,0.05188767,0.025823687,0.046568627,0.031404959,0,0.030847527,0.0473937,0.037959668,0,0.044166667,0.056655666,0.020007695,0.031105991,0.081521739,0.009852217,0.024299065,0.053191489,0.0196,0.056179775,0.04302926,0.02496038
2015-4-20,0,-0.050308914,-0.035634744,-0.051474263,0.036486486,-0.100189934,-0.028846154,-0.016589862,-0.022673031,0,-0.053261285,0.006344558,-0.02747792,0,-0.021940517,-0.031729785,-0.521511743,-0.043256997,-0.042350908,0,-0.052710843,-0.032201147,0.014668133,-0.03192848,-0.028846154,-0.041958042,-0.04274128,-0.043177893,-0.037037037,-0.031609195,-0.037219101,-0.044137931,-0.030560272,-0.030549898,-0.013456686,-0.017770598,-0.020033389,0,-0.046893318,0.016630901,-0.051248357,-0.037966102,-0.021630616,0,-0.048960739,-0.052803129,-0.034391534,-0.031182796,-0.041981528,-0.048888889,-0.028033794,-0.053370787,0.031690141,-0.011409943,-0.08900084,-0.058301648,-0.025641026,-0.063546442,-0.05220339,-0.013213434,-0.056302521,-0.037735849,-0.041204437,0,0.030028097,-0.035796586,-0.043132804,0,-0.013968776,-0.039112051,0.040432346,-0.043526171,-0.03030303,0.037478705,-0.054770318,-0.03465982,-0.01302803,0.019083969,-0.023529412,-0.041033435
