date,600351.ss,600352.ss,600353.ss,600355.ss,600356.ss,600360.ss,600362.ss,600363.ss,600365.ss,600366.ss,600367.ss,600370.ss,600372.ss,600375.ss,600378.ss,600379.ss,600380.ss,600381.ss,600385.ss,600388.ss,600389.ss,600390.ss,600391.ss,600392.ss,600398.ss,600399.ss,600400.ss,600401.ss,600405.ss,600408.ss
2015-5-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-4-30,-0.014534884,0.028757275,-0.02019069,0.02657602,-0.012184508,-0.030562347,-0.029831933,0.003546099,0.055725658,0.00606493,0.003270111,0.07293508,0.100147275,0.02147651,0.003657262,0.016005122,0.029731005,-0.007505774,0.014069264,-0.024184841,-0.009064327,-0.028245192,-0.017510468,-0.032646048,-0.015403574,-0.010829208,0.02889096,0.049678013,-0.009855951,0
2015-4-29,0.019259259,0.002058319,0.020606754,0.01125,0.025892857,0.072083879,0.03030303,0.024833434,0.019987508,0.027492669,0.011243386,0.037375057,0.011018463,0.029005525,0.018085106,0.013627515,0.017282765,0.034029851,0.034135422,0.03002669,0.010638298,0.052498419,0.030196078,0.037741456,0.020897257,0.013166144,0.02581262,0.050241546,0.013056836,0
2015-4-28,-0.042553191,-0.03700033,-0.030521643,0.049868766,-0.031141869,-0.04625,-0.043082022,-0.081757508,-0.024375381,-0.045152258,-0.060869565,-0.046915778,-0.05832866,-0.054830287,0.042128603,-0.040473225,-0.060018051,-0.041762014,-0.049973418,-0.042589438,-0.021682567,-0.049879808,-0.08091548,-0.041310541,-0.011542936,-0.061488673,-0.046490428,-0.049586777,-0.067335244,0
2015-4-27,-0.014675052,0.042355372,-0.005518764,-0.020565553,0.003472222,-0.00990099,0.011735122,-0.002773156,0.031426776,-0.023421477,0.066931743,-0.017917968,0.015665053,0.007894737,0.036781609,-0.008029648,-0.003148898,-0.020728291,-0.05,-0.016544503,-0.000289017,0.010321797,0.030072397,-0.020373988,-0.006038512,-0.032726238,0.000912409,-0.03968254,0.006488825,0
2015-4-24,0.050660793,-0.021563342,-0.019480519,-0.022613065,-0.015384615,0.06455863,-0.016488046,-0.028556034,-0.019716574,-0.013726155,-0.026451613,-0.010135427,0.022720652,-0.003931848,-0.024663677,-0.003078818,0.006793478,0.051236749,0.005076142,0.028651443,-0.017882487,-0.027744982,0.018529022,-0.024237473,0.019704496,-0.022803115,0.012939002,-0.050251256,-0.022551092,0
2015-4-23,0.01641791,-0.008352823,-0.014925373,0.03984324,0.026315789,0.012,0.068722467,-0.038839979,-0.012172855,0.066785709,0.025810721,0.010239205,-0.019142857,0.017333333,-0.01870187,-0.023451594,-0.031578947,-0.025817556,0.046758767,0.005850488,-0.002265647,0.018028846,0.02579519,0.050343249,-0.009756128,0.028604119,0.026565465,0,0.024548736,0.1
2015-4-22,0.007518797,0.022548685,0.039911308,0.011896894,0.035422343,0.03021978,0.028545537,-0.023761375,0.074558535,0.039732578,0.02232747,0.010344259,0.008064516,0.026694045,0.031782066,0,0.019677996,-0.010502413,0.034065934,0.011174408,0.020520231,0.002409639,0.008804539,0.002293578,0.022443636,0.008946609,0.020329138,0.015306122,0.016886931,0.100196464
2015-4-21,0.047244094,0.022354174,0.068087626,0.066995769,0.024186047,0.042979943,0.004094631,0.100111235,0.092142857,0.073763985,0.023545706,0.008696341,0.017883319,0.025983146,0.021449275,-0.049170955,0.015901863,0.073430835,0.050201962,0.100024102,0.018845701,0.010962241,-0.011411992,0.024075161,0.013266235,0.072091584,0.038190955,0.002557545,0.026375283,0.03877551
2015-4-20,-0.027565084,-0.035052241,-0.074013158,-0.069553806,-0.038461538,-0.042524005,-0.014791573,0,0.005747126,-0.013375436,0.006271777,-0.072580736,0.020341011,-0.068062827,-0.024321267,0,-0.100163532,-0.034421889,0.005220418,0.066032888,-0.045531197,0.043865226,0.099532114,0.043824701,0.06241586,0.002792429,-0.045105566,-0.093508501,-0.050786838,-0.027777778
