date,600600.ss,600601.ss,600602.ss,600608.ss,600609.ss,600610.ss,600612.ss,600613.ss,600614.ss,600615.ss,600616.ss,600618.ss,600619.ss,600623.ss,600629.ss,600630.ss,600634.ss,600636.ss,600651.ss,600654.ss,600660.ss,600664.ss,600666.ss,600667.ss,600668.ss,600671.ss,600673.ss,600678.ss,600679.ss,600680.ss,600685.ss,600686.ss,600687.ss,600688.ss,600689.ss,600690.ss,600691.ss,600695.ss,600698.ss,600699.ss,600702.ss,600703.ss,600707.ss,600710.ss,600715.ss,600720.ss,600721.ss,600722.ss,600725.ss,600727.ss
2015-5-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-4-30,-0.010348706,0.010185185,0,-0.037735849,0,-0.042360061,-0.020114412,-0.023843931,0,0.056059357,0.013868613,0.011604096,0.022328549,0.010727912,0,-0.034877927,-0.020320197,-0.018144116,-0.022997033,-0.015543863,-0.01511335,-0.021062271,-0.000359842,0,-0.030133929,0.004349545,-0.00091172,-0.032135307,-0.019927536,0.002502085,-0.000751174,0.047942108,0.007997539,-0.063157895,0,-0.024118071,-0.009077156,0.008417508,0.022115385,-0.010020631,-0.012567325,0.001359311,-0.009015257,-0.004207574,-0.009497207,-0.010942761,-0.006036217,0,0.100102145,0.001763668
2015-4-29,0.007708003,0.009345794,0,-0.050179211,0,-0.014168531,0.020719533,0.01540719,0,0.047495682,0.02238806,-0.012803235,0.012106538,0.001919417,0.087439904,0.030816641,0.04437299,0.012060785,0.056426332,0.019545737,0.008894536,0.027281279,0.010913059,0,0.010146561,-0.003546099,0.003200774,0.096430227,0.017199017,-0.009090909,-0.03915554,0.1,0.036340453,0.1,0,0.007616975,0.026397516,0.014517506,-0.0085796,0.027247956,0.019213175,0.01611418,0.012640449,-0.041666667,-0.010229472,0.009345794,0.012907609,0,0.1,-0.004389816
2015-4-28,-0.044824599,-0.08390411,0,0,0,0,0.100082884,-0.025035765,0,-0.039800995,-0.039426523,0.04950495,-0.025943396,-0.065638232,-0.031713704,0.1,-0.034761018,-0.016503139,-0.022222222,-0.072968047,-0.027194067,-0.042342342,-0.041158005,0,-0.007829978,-0.02007722,-0.099258491,0.042028986,-0.051834595,-0.006160164,-0.014755556,-0.014222658,-0.053409777,0.099537037,0,-0.014301037,-0.044510386,-0.028215768,-0.051537071,-0.1,-0.051626898,-0.05974026,-0.048128342,-0.049808429,0.011748252,-0.039967374,-0.068943707,0,0.100123609,-0.020636285
2015-4-27,0.003476749,-0.017661901,0,0.074109721,0,-0.012518409,0.007936508,-0.01306036,0,-0.003717472,-0.002859185,0.007122507,0.029959514,0.020124368,-0.008080808,0.012006861,-0.012867647,-0.003597444,0.012412723,0.061330901,-0.001234568,0.012773723,-0.000348675,0,0.001680672,-0.026681699,0.015474601,0.065911432,-0.033764772,-0.010162602,0.094357977,-0.000979912,0.004851425,0.100636943,0,0.010111954,0.018126888,0.011754828,0.042412818,0.018595615,0.011852502,-0.017439387,0.073941134,0,0.049926579,0.015741508,-0.024074074,0,0.100680272,-0.019392917
2015-4-24,-0.007975857,0.045734389,0,0.007759457,0,-0.022318215,-0.004366812,0.027939042,0,0.099954566,-0.014094433,-0.031055901,-0.014365523,-0.031881139,-0.005167959,-0.003986333,0.001841621,-0.016675135,-0.019771863,0.100056859,-0.016990291,-0.009041591,0.100115075,0,-0.007782101,0.092813142,-0.020081823,-0.008677897,0.028356481,-0.014817781,0.009823183,-0.022977501,0.035153798,0.099439776,0,-0.022245763,-0.001508296,-0.026165168,-0.008411215,-0.030148048,0.059042306,-0.015494137,0.030325444,-0.043956044,0.049953747,-0.030522088,-0.040852575,0,0.100299401,-0.022258862
2015-4-23,-0.012558536,0.011565836,0,0.007820137,0,0.049886621,-0.020171149,0.055938697,0,0.044117647,0.010683761,0.028388928,0.000798722,0.018030942,0.044377811,-0.001705514,0.032319392,0.0616956,-0.005295008,-0.001142191,-0.008423586,-0.006289308,0.033293698,0,-0.014246575,-0.019726248,-0.022827748,0.0155521,0.099936346,0.019183673,-0.008956386,0.050276521,0.005999368,0.04845815,0,-0.022437004,0.050713154,-0.026273885,0.045943304,0.00951087,-0.003243744,0.038712484,0,0.025031289,0.049854322,-0.004796163,0.039384615,0,0.100494234,-0.064764842
2015-4-22,0.005134788,0.004468275,0,0.004911591,0,0,0.003475772,0.099873578,0,0.015414258,0.026315789,0.046805349,0.023712183,0.027417711,0.075459529,0.029256875,0.026675342,0.01359432,0.01614143,0.006900436,0.040050063,0.025806452,0.050812162,0,0.006063947,0.03543143,0.040850471,0.001557632,0.100140056,0.027253669,0.023719354,0.033783784,0.040407359,0.033383915,0,0.007652174,0.029363785,0.042323651,0.003925417,0.024784183,0.027129938,0.003491925,0.02891933,0.100550964,0.04996601,0.041631973,0.022012579,0,0.099637681,0.090832632
2015-4-21,0.005593804,0.091707317,0,0.052740434,0,0,0.082558654,0.027717627,0,0.033864542,0.060465116,0.036979969,0.037319763,0.09983699,0.013729977,0.037014563,0.037812289,0.053264722,0.037480064,0.039450228,0.032967033,0.033333333,0.029191135,0,-0.021574973,0.030498282,0.063386664,0.038274933,0.100154083,0.031574394,-0.039992346,0.019067797,0.036784741,0.018547141,0,0.08490566,0.02852349,0.02991453,0.061458333,0.033084005,0.0505,0.039945529,0.027365129,0.002762431,0.049964311,-0.00166251,0.0082435,0,0.099601594,0.030329289
2015-4-20,-0.023529412,-0.054428044,0,-0.040674603,0,0,0.002440648,-0.02697008,0,-0.029951691,-0.029345372,-0.032786885,-0.049193548,-0.05904897,0.052287582,-0.038506418,-0.056086679,-0.016338046,-0.030162413,-0.018192569,-0.04269802,-0.045454545,-0.018915597,0,0.011456628,-0.069916101,-0.035485229,-0.056939502,0,-0.063967611,0.07332101,-0.041624365,-0.055644902,-0.040059347,0,-0.03425656,-0.018121911,-0.022556391,-0.022403259,-0.063325249,-0.013806706,-0.004518753,-0.071169208,-0.052356021,0.014849692,-0.046751189,-0.021104904,0,0,-0.000865801
